"Ozone";"Solar.R";"Wind";"Temp";"Month";"Day";"day_bin";"Month_ch"
41;190;7.4;67;5;1;"First_half";"m5_May"
36;118;8;72;5;2;"First_half";"m5_May"
12;149;12.6;74;5;3;"First_half";"m5_May"
18;313;11.5;62;5;4;"First_half";"m5_May"
NA;NA;14.3;56;5;5;"First_half";"m5_May"
28;NA;14.9;66;5;6;"First_half";"m5_May"
23;299;8.6;65;5;7;"First_half";"m5_May"
19;99;13.8;59;5;8;"First_half";"m5_May"
8;19;20.1;61;5;9;"First_half";"m5_May"
NA;194;8.6;69;5;10;"First_half";"m5_May"
7;NA;6.9;74;5;11;"First_half";"m5_May"
16;256;9.7;69;5;12;"First_half";"m5_May"
11;290;9.2;66;5;13;"First_half";"m5_May"
14;274;10.9;68;5;14;"First_half";"m5_May"
18;65;13.2;58;5;15;"First_half";"m5_May"
14;334;11.5;64;5;16;"Second_half";"m5_May"
34;307;12;66;5;17;"Second_half";"m5_May"
6;78;18.4;57;5;18;"Second_half";"m5_May"
30;322;11.5;68;5;19;"Second_half";"m5_May"
11;44;9.7;62;5;20;"Second_half";"m5_May"
1;8;9.7;59;5;21;"Second_half";"m5_May"
11;320;16.6;73;5;22;"Second_half";"m5_May"
4;25;9.7;61;5;23;"Second_half";"m5_May"
32;92;12;61;5;24;"Second_half";"m5_May"
NA;66;16.6;57;5;25;"Second_half";"m5_May"
NA;266;14.9;58;5;26;"Second_half";"m5_May"
NA;NA;8;57;5;27;"Second_half";"m5_May"
23;13;12;67;5;28;"Second_half";"m5_May"
45;252;14.9;81;5;29;"Second_half";"m5_May"
115;223;5.7;79;5;30;"Second_half";"m5_May"
37;279;7.4;76;5;31;"Second_half";"m5_May"
NA;286;8.6;78;6;1;"First_half";"m6_June"
NA;287;9.7;74;6;2;"First_half";"m6_June"
NA;242;16.1;67;6;3;"First_half";"m6_June"
NA;186;9.2;84;6;4;"First_half";"m6_June"
NA;220;8.6;85;6;5;"First_half";"m6_June"
NA;264;14.3;79;6;6;"First_half";"m6_June"
29;127;9.7;82;6;7;"First_half";"m6_June"
NA;273;6.9;87;6;8;"First_half";"m6_June"
71;291;13.8;90;6;9;"First_half";"m6_June"
39;323;11.5;87;6;10;"First_half";"m6_June"
NA;259;10.9;93;6;11;"First_half";"m6_June"
NA;250;9.2;92;6;12;"First_half";"m6_June"
23;148;8;82;6;13;"First_half";"m6_June"
NA;332;13.8;80;6;14;"First_half";"m6_June"
NA;322;11.5;79;6;15;"First_half";"m6_June"
21;191;14.9;77;6;16;"Second_half";"m6_June"
37;284;20.7;72;6;17;"Second_half";"m6_June"
20;37;9.2;65;6;18;"Second_half";"m6_June"
12;120;11.5;73;6;19;"Second_half";"m6_June"
13;137;10.3;76;6;20;"Second_half";"m6_June"
NA;150;6.3;77;6;21;"Second_half";"m6_June"
NA;59;1.7;76;6;22;"Second_half";"m6_June"
NA;91;4.6;76;6;23;"Second_half";"m6_June"
NA;250;6.3;76;6;24;"Second_half";"m6_June"
NA;135;8;75;6;25;"Second_half";"m6_June"
NA;127;8;78;6;26;"Second_half";"m6_June"
NA;47;10.3;73;6;27;"Second_half";"m6_June"
NA;98;11.5;80;6;28;"Second_half";"m6_June"
NA;31;14.9;77;6;29;"Second_half";"m6_June"
NA;138;8;83;6;30;"Second_half";"m6_June"
135;269;4.1;84;7;1;"First_half";"m7_July"
49;248;9.2;85;7;2;"First_half";"m7_July"
32;236;9.2;81;7;3;"First_half";"m7_July"
NA;101;10.9;84;7;4;"First_half";"m7_July"
64;175;4.6;83;7;5;"First_half";"m7_July"
40;314;10.9;83;7;6;"First_half";"m7_July"
77;276;5.1;88;7;7;"First_half";"m7_July"
97;267;6.3;92;7;8;"First_half";"m7_July"
97;272;5.7;92;7;9;"First_half";"m7_July"
85;175;7.4;89;7;10;"First_half";"m7_July"
NA;139;8.6;82;7;11;"First_half";"m7_July"
10;264;14.3;73;7;12;"First_half";"m7_July"
27;175;14.9;81;7;13;"First_half";"m7_July"
NA;291;14.9;91;7;14;"First_half";"m7_July"
7;48;14.3;80;7;15;"First_half";"m7_July"
48;260;6.9;81;7;16;"Second_half";"m7_July"
35;274;10.3;82;7;17;"Second_half";"m7_July"
61;285;6.3;84;7;18;"Second_half";"m7_July"
79;187;5.1;87;7;19;"Second_half";"m7_July"
63;220;11.5;85;7;20;"Second_half";"m7_July"
16;7;6.9;74;7;21;"Second_half";"m7_July"
NA;258;9.7;81;7;22;"Second_half";"m7_July"
NA;295;11.5;82;7;23;"Second_half";"m7_July"
80;294;8.6;86;7;24;"Second_half";"m7_July"
108;223;8;85;7;25;"Second_half";"m7_July"
20;81;8.6;82;7;26;"Second_half";"m7_July"
52;82;12;86;7;27;"Second_half";"m7_July"
82;213;7.4;88;7;28;"Second_half";"m7_July"
50;275;7.4;86;7;29;"Second_half";"m7_July"
64;253;7.4;83;7;30;"Second_half";"m7_July"
59;254;9.2;81;7;31;"Second_half";"m7_July"
39;83;6.9;81;8;1;"First_half";"m8_August"
9;24;13.8;81;8;2;"First_half";"m8_August"
16;77;7.4;82;8;3;"First_half";"m8_August"
78;NA;6.9;86;8;4;"First_half";"m8_August"
35;NA;7.4;85;8;5;"First_half";"m8_August"
66;NA;4.6;87;8;6;"First_half";"m8_August"
122;255;4;89;8;7;"First_half";"m8_August"
89;229;10.3;90;8;8;"First_half";"m8_August"
110;207;8;90;8;9;"First_half";"m8_August"
NA;222;8.6;92;8;10;"First_half";"m8_August"
NA;137;11.5;86;8;11;"First_half";"m8_August"
44;192;11.5;86;8;12;"First_half";"m8_August"
28;273;11.5;82;8;13;"First_half";"m8_August"
65;157;9.7;80;8;14;"First_half";"m8_August"
NA;64;11.5;79;8;15;"First_half";"m8_August"
22;71;10.3;77;8;16;"Second_half";"m8_August"
59;51;6.3;79;8;17;"Second_half";"m8_August"
23;115;7.4;76;8;18;"Second_half";"m8_August"
31;244;10.9;78;8;19;"Second_half";"m8_August"
44;190;10.3;78;8;20;"Second_half";"m8_August"
21;259;15.5;77;8;21;"Second_half";"m8_August"
9;36;14.3;72;8;22;"Second_half";"m8_August"
NA;255;12.6;75;8;23;"Second_half";"m8_August"
45;212;9.7;79;8;24;"Second_half";"m8_August"
168;238;3.4;81;8;25;"Second_half";"m8_August"
73;215;8;86;8;26;"Second_half";"m8_August"
NA;153;5.7;88;8;27;"Second_half";"m8_August"
76;203;9.7;97;8;28;"Second_half";"m8_August"
118;225;2.3;94;8;29;"Second_half";"m8_August"
84;237;6.3;96;8;30;"Second_half";"m8_August"
85;188;6.3;94;8;31;"Second_half";"m8_August"
96;167;6.9;91;9;1;"First_half";"m9_September"
78;197;5.1;92;9;2;"First_half";"m9_September"
73;183;2.8;93;9;3;"First_half";"m9_September"
91;189;4.6;93;9;4;"First_half";"m9_September"
47;95;7.4;87;9;5;"First_half";"m9_September"
32;92;15.5;84;9;6;"First_half";"m9_September"
20;252;10.9;80;9;7;"First_half";"m9_September"
23;220;10.3;78;9;8;"First_half";"m9_September"
21;230;10.9;75;9;9;"First_half";"m9_September"
24;259;9.7;73;9;10;"First_half";"m9_September"
44;236;14.9;81;9;11;"First_half";"m9_September"
21;259;15.5;76;9;12;"First_half";"m9_September"
28;238;6.3;77;9;13;"First_half";"m9_September"
9;24;10.9;71;9;14;"First_half";"m9_September"
13;112;11.5;71;9;15;"First_half";"m9_September"
46;237;6.9;78;9;16;"Second_half";"m9_September"
18;224;13.8;67;9;17;"Second_half";"m9_September"
13;27;10.3;76;9;18;"Second_half";"m9_September"
24;238;10.3;68;9;19;"Second_half";"m9_September"
16;201;8;82;9;20;"Second_half";"m9_September"
13;238;12.6;64;9;21;"Second_half";"m9_September"
23;14;9.2;71;9;22;"Second_half";"m9_September"
36;139;10.3;81;9;23;"Second_half";"m9_September"
7;49;10.3;69;9;24;"Second_half";"m9_September"
14;20;16.6;63;9;25;"Second_half";"m9_September"
30;193;6.9;70;9;26;"Second_half";"m9_September"
NA;145;13.2;77;9;27;"Second_half";"m9_September"
14;191;14.3;75;9;28;"Second_half";"m9_September"
18;131;8;76;9;29;"Second_half";"m9_September"
20;223;11.5;68;9;30;"Second_half";"m9_September"
